"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 13 10:22:24 GMT 2025","Thu Feb 13 10:22:26 GMT 2025","1285","tests","test_get_bookingids","TestGetBookingids","","","test_get_bookingids",""
"broken","Thu Feb 13 10:22:22 GMT 2025","Thu Feb 13 10:22:23 GMT 2025","1168","tests","test_get_booking_id","TestGetBookingId","","","test_get_booking_id",""
"passed","Thu Feb 13 10:22:19 GMT 2025","Thu Feb 13 10:22:21 GMT 2025","1720","tests","test_delete_booking","TestDeleteBooking","","","test_delete_booking",""
"passed","Thu Feb 13 10:22:17 GMT 2025","Thu Feb 13 10:22:18 GMT 2025","870","tests","test_create_token","TestCreateToken","","","test_create_token",""
"passed","Thu Feb 13 10:22:27 GMT 2025","Thu Feb 13 10:22:27 GMT 2025","878","tests","test_partial_update_booking","TestPartialUpdateBooking","","","test_partial_update_booking",""
"passed","Thu Feb 13 10:22:16 GMT 2025","Thu Feb 13 10:22:17 GMT 2025","841","tests","test_create_booking","TestCreateBooking","","","test_create_booking",""
"passed","Thu Feb 13 10:22:28 GMT 2025","Thu Feb 13 10:22:29 GMT 2025","1001","tests","test_update_booking","TestUpdateBooking","","","test_update_booking",""
